
1,The Shawshank Redemption,1994,Drama,9,null
2,The Godfather,1972,Crime,9,null
3,The Dark Knight,2008,Action,9,null
4,Pulp Fiction,1994,Crime,8,null
5,Forrest Gump,1994,Drama,8,null
6,Inception,2010,Action,8,null
7,The Matrix,1999,Action,8,null
8,The Lord of the Rings: The Return of the King,2003,Adventure,8,null
9,The Dark Knight Rises,2012,Action,8,null
10,Interstellar,2014,Adventure,8,null
11,Fight Club,1999,Drama,8,null
12,Gladiator,2000,Action,8,null
13,The Lord of the Rings: The Two Towers,2002,Adventure,8,null
14,The Silence of the Lambs,1991,Crime,8,null
15,The Departed,2006,Crime,8,null
16,Saving Private Ryan,1998,Drama,8,null
17,The Prestige,2006,Drama,8,null
18,Glory,1989,Drama,7,null
19,The Avengers,2012,Action,8,null
20,The Lion King,1994,Animation,8,null
21,Abc,2000,Action,5,C:\Users\mehvishf\Documents\Assessment\MovieRentalSystem\src\main\resources\uploads\6aa16bda-1a36-4ada-9dfd-cb4e24431c2a_employee1.png
